Port,Latitude,Longitude
Los Angeles,34.0522,-118.2437
San Francisco,37.7749,-122.4194
Seattle,47.6062,-122.3321
Vancouver,49.2827,-123.1207
Houston,29.7604,-95.3698
Miami,25.7617,-80.1918
New York,40.7128,-74.0060
Charleston,32.7765,-79.9311
Savannah,32.0836,-81.0998
Tokyo,35.6828,139.7592
Rotterdam,51.9225,4.47917
Hamburg,53.5511,9.99368
Singapore,1.3521,103.8198
Dubai,25.276987,55.296249
London,51.5074,-0.1278
Barcelona,41.3851,2.1734
Copenhagen,55.6761,12.5683
Rio de Janeiro,-22.9068,-43.1729
Cape Town,-33.9249,18.4241
